公开号,名称,关系
CN103122769A,山东电力集团公司淄博供电公司,申请
CN204795707U,山东百仕达轻工科技有限公司,申请
CN204014075U,成都希盟泰克科技发展有限公司,申请
CN104302050A,西南交通大学,申请
CN2443577Y,赫成文,申请
CN104382074A,南昌大学,申请
CN203114322U,国家电网公司,申请
CN203114322U,淄博长安电力工具有限公司,申请
CN203114322U,山东电力集团公司淄博供电公司,申请
CN105513187A,沈一钫,申请
CN203066983U,西南交通大学,申请
CN103076624A,山东大学,申请
CN2911606Y,北京光电技术研究所,申请
CN104829012A,中铁十四局集团第五工程有限公司,申请
CN2542018Y,侯马市鑫海工务工程有限公司,申请
CN2619256Y,陈一平,申请
CN2619256Y,湖南继善高科技有限责任公司,申请
CN202587523U,浙江金丽温高速公路有限公司,申请
CN103891200A,阿尔卡特朗讯公司,申请
CN205747891U,广东展翠食品股份有限公司,申请
CN102358294A,文怡,申请
CN105513186A,张晓刚,申请
CN103590637A,张政山,申请
CN104897301A,电子科技大学,申请
CN104897301A,贵州电网公司信息通信分公司,申请
CN2620431Y,广东工业大学,申请
CN101363824A,西安西科测控设备有限责任公司,申请
CN1851740A,上海华申智能卡应用系统有限公司,申请
CN104535023A,北京理工大学,申请
CN205093504U,黄山市祁门华盛茶业有限公司,申请
CN204149154U,天津博诺机器人技术有限公司,申请
CN101845814A,金文成,申请
CN104216293A,中铁西南科学研究院有限公司,申请
CN103931172A,菲力尔系统公司,申请
CN204392909U,刘召东,申请
CN201909719U,西南交通大学,申请
CN105416347A,张晓刚,申请
CN102495599A,山东电力集团公司青岛供电公司,申请
CN203950405U,中铁十八局集团隧道工程有限公司,申请
CN104536415A,吴瑞祥,申请
CN204853158U,广东维克光电技术有限公司,申请
CN104295320A,广东惠利普路桥信息工程有限公司,申请
CN202903240U,武汉理工光科股份有限公司,申请
CN103592904A,国网上海市电力公司,申请
CN103592904A,国家电网公司,申请
CN101480207A,苏和生,申请
CN104715264A,武汉理工大学,申请
CN104715264A,广东省南粤交通韶赣高速公路管理中心,申请
CN102396250A,松下电器产业株式会社,申请
CN204680343U,山东华天电子科技有限公司,申请
CN103051873A,山东康威通信技术股份有限公司,申请
CN202663597U,广东凯乐斯光电科技有限公司,申请
CN102448230A,丽水市海威光控科技有限公司,申请
CN101749943A,浙江大学,申请
CN202743247U,南京铁道职业技术学院,申请
CN105424892A,山东大学,申请
CN103426296A,李志恒,申请
CN103426296A,姜廷顺,申请
CN203148702U,西南交通大学,申请
CN201297175Y,西南交通大学,申请
CN102296972A,长安大学,申请
CN1958178A,张立,申请
CN202472374U,重庆市鹏创道路材料有限公司,申请
CN203465846U,中铁二十五局集团有限公司,申请
CN203465846U,中铁二十五局集团轨道交通工程有限公司,申请
CN204025120U,昆明联诚科技股份有限公司,申请
CN204214256U,机械工业第六设计研究院有限公司,申请
CN203118229U,中南大学,申请
CN103996060A,上海同岩土木工程科技有限公司,申请
CN104991488A,华北电力大学（保定）,申请
CN105278512A,重庆恒宇华顿新能源开发有限公司,申请
CN103076128A,西南交通大学,申请
CN200986847Y,扬州大学,申请
CN203784739U,西安宝康硕电子通讯科技有限公司,申请
CN102737510A,浙江大学,申请
CN205246637U,山东大学,申请
CN205305167U,天津市军联科技有限公司,申请
CN102590872A,中山大学,申请
CN204343980U,西安越度机电科技有限公司,申请
CN203289566U,长安大学,申请
CN202990842U,西安众智惠泽光电科技有限公司,申请
CN104389621A,东南大学,申请
CN104389621A,北京市地铁建筑安装工程公司,申请
CN104389621A,北京特希达科技有限公司,申请
CN203149747U,李成,申请
CN102779453A,清华大学,申请
CN202467854U,重庆市鹏创道路材料有限公司,申请
CN203167354U,浙江永通科技发展有限公司,申请
CN104648221A,王爱玲,申请
CN205149810U,至库停车信息服务有限公司,申请
CN202548621U,上海市电力公司,申请
CN202548621U,上海久隆电力科技有限公司,申请
CN105847391A,云南电网有限责任公司昆明供电局,申请
CN105847391A,云南远信科技有限公司,申请
CN201289410Y,西南交通大学,申请
CN202617433U,云南鼎坤科技有限公司,申请
CN104184735A,国网浙江省电力公司嘉兴供电公司,申请
CN104184735A,国家电网公司,申请
CN104184735A,国网浙江省电力公司,申请
CN105550409A,招商局重庆交通科研设计院有限公司,申请
CN101435746A,西南交通大学,申请
CN202856796U,安徽师范大学,申请
CN102541022A,重庆市鹏创道路材料有限公司,申请
CN205227978U,保山迷你食品有限公司,申请
CN201629874U,厦门瑞兆能源科技有限公司,申请
CN101480071A,泰克莱克公司,申请
CN204544440U,华东交通大学,申请
CN203870900U,西南交通大学,申请
CN104548415A,山东科一力电气有限公司,申请
CN202004770U,国网电力科学研究院,申请
CN104766129A,华中科技大学,申请
CN102256407A,王中美,申请
CN205265369U,郑州扬天汇达信息科技有限公司,申请
CN203082717U,李兆军,申请
CN104469309A,天津艾思科尔科技有限公司,申请
CN205140134U,天津智易时代科技发展有限公司,申请
CN205140128U,天津艾思科尔科技有限公司,申请
CN102305580A,北京交通大学,申请
CN202262013U,宁波市镇海基成机械制造有限公司,申请
CN105449075A,常州志得电子有限公司,申请
CN201749129U,苏州海兹思纳米科技有限公司,申请
CN201234392Y,汪正林,申请
CN201234392Y,李浩,申请
CN201234392Y,吴巨芳,申请
CN101938878A,天津大学,申请
CN203368637U,中铁十三局集团有限公司,申请
CN203368637U,中铁十三局集团第五工程有限公司,申请
CN203367979U,中铁十三局集团有限公司,申请
CN203367979U,中铁十三局集团第五工程有限公司,申请
CN106549913A,陕西重型汽车有限公司,申请
CN201858842U,洪正中,申请
CN103763352A,沈阳中科博微自动化技术有限公司,申请
CN102842235A,沈阳新一代信息技术有限公司,申请
CN101992784A,叶高峰,申请
CN105155040A,苏州明动新材料科技有限公司,申请
CN203376608U,河北省电力公司,申请
CN203376608U,国家电网公司,申请
CN203376608U,石家庄供电公司,申请
CN105488883A,张晓刚,申请
CN201620915U,中铁十二局集团有限公司,申请
CN105374213A,郑州弗曼智能设备科技有限公司,申请
CN203441530U,久盛电气股份有限公司,申请
CN104125251A,华茂云天科技(北京)有限公司,申请
CN104329120A,成都四为电子信息股份有限公司,申请
CN105989546A,国网吉林省电力有限公司经济技术研究院,申请
CN103223896A,无锡北斗星通信息科技有限公司,申请
CN105516379A,中国电信股份有限公司,申请
CN201629877U,华通远航(北京)科技发展有限公司,申请
CN202907323U,张家港智能电力研究院有限公司,申请
CN101105079A,于鑫阳,申请
CN205081386U,上海纳杰电气成套有限公司,申请
CN301498727S,宾得励精科技(上海)有限公司,申请
CN103493497A,纳格拉影像股份有限公司,申请
CN106559348A,国家电网公司,申请
CN106559348A,中国电力科学研究院,申请
CN106559348A,北京智芯微电子科技有限公司,申请
CN101820569A,张家港市玉同电子科技有限公司,申请
CN204065427U,吉林大学,申请
CN105840212A,中冶建工集团有限公司,申请
CN102095594A,西南交通大学,申请
CN201811130U,周开壹,申请
CN201811130U,孙学军,申请
CN202448997U,长沙鸿汉电子有限公司,申请
CN203275106U,西南交通大学,申请
CN105752308A,武汉理工大学,申请
CN104729489A,中铁二局股份有限公司,申请
CN205211150U,内蒙古德辰信息网络科技有限责任公司,申请
CN203206534U,上海市隧道工程轨道交通设计研究院,申请
CN103645495A,山东大学,申请
CN105471046A,山东康威通信技术股份有限公司,申请
CN101872376A,中国公路工程咨询集团有限公司,申请
CN101872376A,中交宇科（北京）空间信息技术有限公司,申请
CN105736050A,中国水利水电第四工程局有限公司,申请
CN101238520A,飞思卡尔半导体公司,申请
CN105513143A,张晓刚,申请
CN203700125U,重庆铁科轨道交通工程有限公司,申请
CN205172361U,天津港峰铝塑门窗制品有限公司,申请
CN205172361U,天津创世经纬科技有限公司,申请
CN202707551U,长沙恩德科技有限公司,申请
CN105781581A,北京市政建设集团有限责任公司,申请
CN103215616A,陈天贵,申请
CN103215616A,湖南宏阳科技有限公司,申请
CN102244961A,吉林省交通科学研究所,申请
CN101263466A,微软公司,申请
CN203301793U,湖南中能力华新能源技术有限公司,申请
CN103471583A,西南交通大学,申请
CN204104633U,南京市宏伟屠宰机械制造有限公司,申请
CN102159019A,文怡,申请
CN104255890A,南京市宏伟屠宰机械制造有限公司,申请
CN204632052U,浙江海洋学院,申请
CN203301794U,湖南中能力华新能源技术有限公司,申请
CN103129581A,上海殷浩电子科技股份有限公司,申请
CN201818313U,西南交通大学,申请
CN204447034U,山东科一力电气有限公司,申请
CN103175510A,华中科技大学,申请
CN104168210A,网宿科技股份有限公司,申请
CN1545275A,清华大学深圳研究生院,申请
CN104895353A,金传华,申请
CN103391256A,武汉邮电科学研究院,申请
CN104454000A,国家电网公司,申请
CN104454000A,国网河南省电力公司郑州供电公司,申请
CN104454000A,郑州众创汇达电气有限公司,申请
CN105064412A,中铁第四勘察设计院集团有限公司,申请
CN102724293A,南京智达康无线通信科技股份有限公司,申请
CN102951069A,郑州宇通客车股份有限公司,申请
CN103713334A,山东大学,申请
CN104047248A,江苏紫光吉地达环境科技有限公司,申请
CN103651319A,扬州大学,申请
CN204087290U,武汉科迪奥电力科技有限公司,申请
CN204087290U,国网山西省电力公司信息通信分公司,申请
CN102289939A,北京航空航天大学,申请
CN204856146U,成都星宇节能技术股份有限公司,申请
CN204948398U,陕西新航线交通科技有限公司,申请
CN101341779A,诺基亚公司,申请
CN203416466U,毛振刚,申请
CN102235013A,重庆兆迈机械技术研发有限公司,申请
CN105237067A,安徽华沃生态肥业科技有限公司,申请
CN103167546A,武汉虹旭信息技术有限责任公司,申请
CN201550325U,饶志强,申请
CN103529192A,西南交通大学,申请
CN103321656A,西南交通大学,申请
CN204212785U,安徽佳乐建设机械有限公司,申请
CN204212785U,中铁十局集团有限公司,申请
CN104052748A,浪潮电子信息产业股份有限公司,申请
CN202713724U,长沙恩德科技有限公司,申请
CN101886359A,沈漾春,申请
CN104463569A,奇智软件（北京）有限公司,申请
CN104463569A,北京奇虎科技有限公司,申请
CN103527085A,赵晴堂,申请
CN204210275U,朱云彬,申请
CN204210275U,刘永才,申请
CN204210275U,余震海,申请
CN104866996A,上海民道信息科技有限公司,申请
CN105491589A,国家电网公司,申请
CN105491589A,国网湖南省电力公司,申请
CN105491589A,国网湖南省电力公司永州供电分公司,申请
CN104599427A,无锡波汇光电科技有限公司,申请
CN104599427A,上海波汇通信科技有限公司,申请
CN102219022A,重庆兆迈机械技术研发有限公司,申请
CN105211350A,黄山市祁门华盛茶业有限公司,申请
CN205365599U,赵跃,申请
CN102661656A,江苏亚太轻合金科技股份有限公司,申请
CN202972776U,刘东阳,申请
CN104403939A,苏州科大微龙信息技术有限公司,申请
CN104378410A,东莞市联讯系统科技有限公司,申请
CN205540219U,南京东送电力工程有限公司,申请
CN1656474A,普里凯许公司,申请
CN102917002A,上海奥达光电子科技有限公司,申请
CN106163897A,刘健,申请
CN302313604S,山东康威通信技术股份有限公司,申请
CN204887277U,招商局重庆交通科研设计院有限公司,申请
CN204989911U,广州吉飞电子科技有限公司,申请
CN101110133A,盛年,申请
CN105211349A,黄山市祁门华盛茶业有限公司,申请
CN201462745U,重庆大学,申请
CN103379704A,广东凯乐斯光电科技有限公司,申请
CN201902235U,北京诚骋成科技发展有限公司,申请
CN107005566A,比特梵德知识产权管理有限公司,申请
CN105155997A,天津港峰铝塑门窗制品有限公司,申请
CN105155997A,天津创世经纬科技有限公司,申请
CN203757577U,浙江生辉照明有限公司,申请
CN101763102A,武汉理工大学,申请
CN101753401A,北京天融信科技有限公司,申请
CN102700572A,西安电子科技大学,申请
CN102748942A,福建省佳美集团公司,申请
CN102001102A,北京同仁堂健康药业（福州）有限公司,申请
CN102251538A,文怡,申请
CN104691400A,胡荣,申请
CN101908163A,深圳市脑库计算机系统有限公司,申请
CN101908163A,单强,申请
CN101908163A,贺文,申请
CN204531500U,金传华,申请
CN204281797U,浙江宇清炉料科技有限公司,申请
CN204904021U,交通运输部公路科学研究所,申请
CN105046512A,长沙待霁电子科技有限公司,申请
CN205133648U,黄冈市中基窑炉有限公司,申请
CN204759182U,铁道第三勘察设计院集团有限公司,申请
CN203897838U,杭恒祥,申请
CN1932868A,北京市东区邮电局,申请
CN201289705Y,西南交通大学,申请
CN204648797U,南通冰源冷冻设备有限公司,申请
CN101425238A,同济大学,申请
CN205172362U,天津港峰铝塑门窗制品有限公司,申请
CN205172362U,天津创世经纬科技有限公司,申请
CN104784852A,公安部天津消防研究所,申请
CN105120224A,招商局重庆交通科研设计院有限公司,申请
CN102122849A,文怡,申请
CN105207098A,上海纳杰电气成套有限公司,申请
CN201581928U,中煤第五建设公司,申请
CN205154262U,中铁二十局集团第三工程有限公司,申请
CN202836166U,潮州市索力德机电设备有限公司,申请
CN202836166U,广东四通集团股份有限公司,申请
CN103543697A,上海宝信软件股份有限公司,申请
CN105939499A,烽火通信科技股份有限公司,申请
CN201704875U,金文成,申请
CN105245831A,天津艾思科尔科技有限公司,申请
CN102117528A,同济大学,申请
CN103258256A,辽宁省电力有限公司沈阳供电公司,申请
CN103258256A,国家电网公司,申请
CN102387350A,天津银箭科技有限公司,申请
CN202946195U,长安大学,申请
CN201164675Y,山东省科学院自动化研究所,申请
CN102635051A,长沙伟诺机电有限公司,申请
CN205179442U,中国计量学院,申请
CN1991845A,上海电气自动化设计研究所有限公司,申请
CN201721617U,梁耀,申请
CN204875580U,陕西省交通建设集团公司蓝商分公司,申请
CN201319683Y,王国钧,申请
CN202300853U,无锡中阳新能源科技有限公司,申请
CN101509390A,湖南大学,申请
CN201826853U,西南交通大学,申请
CN204362805U,国家电网公司,申请
CN204362805U,国网浙江富阳市供电公司,申请
CN204362805U,国网浙江省电力公司杭州供电公司,申请
CN201832164U,北京同仁堂健康药业（福州）有限公司,申请
CN104019795A,盈亨科技(上海)有限公司,申请
CN103093283A,天津市市政工程设计研究院,申请
CN202994353U,西南交通大学,申请
CN105430767A,罗轶,申请
CN102562141A,铁道第三勘察设计院集团有限公司,申请
CN204386622U,长安大学,申请
CN105409167A,华为技术有限公司,申请
CN103780680A,东南大学,申请
CN105668189A,梧州市自动化技术研究开发院,申请
CN204781016U,中铁第四勘察设计院集团有限公司,申请
CN102917355A,中兴通讯股份有限公司,申请
CN104135729A,国家电网公司,申请
CN104135729A,国网天津市电力公司,申请
CN101311696A,上海轨道交通设备发展有限公司,申请
CN105849048A,OMYA国际股份公司,申请
CN101311697A,上海轨道交通设备发展有限公司,申请
CN103313039A,长安大学,申请
CN203896566U,长春希达电子技术有限公司,申请
CN105546561A,朱祖阳,申请
CN104582155A,厦门格绿能光电股份有限公司,申请
CN101287315A,武汉日新科技照明有限公司,申请
CN201294043Y,山西四和交通工程有限责任公司,申请
CN105338023A,北京华为数字技术有限公司,申请
CN201336748Y,山西四和交通工程有限责任公司,申请
CN105627282A,陕西桥上桥锅炉容器制造有限责任公司,申请
CN202093657U,福州富海电子科技有限公司,申请
CN205003206U,国网电力科学研究院武汉南瑞有限责任公司,申请
CN205003206U,广西电网公司电力科学研究院,申请
CN204759758U,天津艾思科尔科技有限公司,申请
CN105003390A,四川太一新能源开发有限公司,申请
CN203912248U,陕西中莱节能有限公司,申请
CN204733434U,重庆绿色科技开发有限公司,申请
CN105756733A,石家庄新华能源环保科技股份有限公司,申请
CN1860688A,GG贝利有限责任公司,申请
CN103775907A,西安联合交通设施工程有限公司,申请
CN104267704A,成都四为电子信息股份有限公司,申请
CN102622906A,郭顺平,申请
CN103105779A,北京南车时代信息技术有限公司,申请
CN205196021U,西安理想华夏科技创新有限公司,申请
CN102508860A,广州中浩控制技术有限公司,申请
CN203884019U,浙江高速信息工程技术有限公司,申请
CN203642685U,北京航天易联科技发展有限公司,申请
CN101718227A,张显荣,申请
CN101718227A,韩凤琳,申请
CN106559399A,北京军地联合网络技术中心,申请
CN102930692A,朱海涛,申请
CN202942577U,段国民,申请
CN201401121Y,方超,申请
CN203601299U,北京金日恒升科技有限公司,申请
CN105370609A,中铁第一勘察设计院集团有限公司,申请
CN205349347U,招商局重庆交通科研设计院有限公司,申请
CN105698974A,大连理工大学,申请
CN101312457A,普里凯许公司,申请
CN205382944U,李顺良,申请
CN205273498U,天津光电高斯通信工程技术股份有限公司,申请
CN105505586A,李观德,申请
CN203072231U,长兴友邦电器有限公司,申请
CN204475217U,重庆交通大学,申请
CN102566552A,重庆市鹏创道路材料有限公司,申请
CN103162535A,陕西子竹电子有限公司,申请
CN102665346A,浙江金丽温高速公路有限公司,申请
CN202577100U,长沙伟诺机电有限公司,申请
CN204196909U,沈瑜,申请
CN204196909U,贡力,申请
CN103293623A,中煤科工集团武汉设计研究院,申请
CN103956109A,西南交通大学,申请
CN106795005A,欧米亚国际集团,申请
CN104613885A,中国石油化工股份有限公司大连石油化工研究院,申请
CN104613885A,中国石油化工股份有限公司,申请
CN103249231A,长沙理工大学,申请
CN102880179A,山东康威通信技术股份有限公司,申请
CN201251564Y,西安西科测控设备有限责任公司,申请
CN102857316A,中兴通讯股份有限公司,申请
CN204331363U,吴华瑜,申请
CN201017222Y,成都西南交大科技园管理有限责任公司,申请
CN202647455U,深圳市光时代科技发展有限公司,申请
CN103034224A,中国石油大学（华东）,申请
