公开号,名称,关系
CN2542018Y,山西太原科卫专利事务所,代理
CN2619256Y,长沙正奇专利事务所有限责任公司,代理
CN103891200A,北京市中咨律师事务所,代理
CN103590637A,南京天翼专利代理有限责任公司,代理
CN104897301A,成都宏顺专利代理事务所(普通合伙),代理
CN2620431Y,广州粤高专利代理有限公司,代理
CN101363824A,西安集思得知识产权代理有限公司,代理
CN1851740A,上海东亚专利商标代理有限公司,代理
CN205093504U,深圳市百瑞专利商标事务所(普通合伙),代理
CN101845814A,武汉宇晨专利事务所,代理
CN103931172A,北京安信方达知识产权代理有限公司,代理
CN204392909U,北京联瑞联丰知识产权代理事务所(普通合伙),代理
CN201909719U,成都博通专利事务所,代理
CN203950405U,北京远大卓悦知识产权代理事务所(普通合伙),代理
CN104536415A,北京品源专利代理有限公司,代理
CN204853158U,北京科亿知识产权代理事务所(普通合伙),代理
CN104295320A,北京科亿知识产权代理事务所(普通合伙),代理
CN202903240U,湖北武汉永嘉专利代理有限公司,代理
CN103592904A,上海科盛知识产权代理有限公司,代理
CN101480207A,杭州杭诚专利事务所有限公司,代理
CN104715264A,湖北武汉永嘉专利代理有限公司,代理
CN102396250A,北京市柳沈律师事务所,代理
CN204680343U,济南圣达知识产权代理有限公司,代理
CN103051873A,济南圣达知识产权代理有限公司,代理
CN202663597U,北京振安创业专利代理有限责任公司,代理
CN102448230A,杭州求是专利事务所有限公司,代理
CN101749943A,杭州求是专利事务所有限公司,代理
CN105424892A,济南圣达知识产权代理有限公司,代理
CN103426296A,北京三聚阳光知识产权代理有限公司,代理
CN201297175Y,成都博通专利事务所,代理
CN102296972A,西安恒泰知识产权代理事务所,代理
CN203465846U,广州致信伟盛知识产权代理有限公司,代理
CN204025120U,北京东正专利代理事务所(普通合伙),代理
CN204214256U,郑州异开专利事务所(普通合伙),代理
CN203118229U,长沙丁卯专利代理事务所(普通合伙),代理
CN103996060A,上海科盛知识产权代理有限公司,代理
CN104991488A,上海海颂知识产权代理事务所(普通合伙),代理
CN105278512A,重庆市前沿专利事务所(普通合伙),代理
CN103076128A,成都博通专利事务所,代理
CN200986847Y,扬州苏中专利事务所,代理
CN203784739U,西安西交通盛知识产权代理有限责任公司,代理
CN102737510A,杭州求是专利事务所有限公司,代理
CN205246637U,济南圣达知识产权代理有限公司,代理
CN204343980U,西安创知专利事务所,代理
CN203289566U,西安睿通知识产权代理事务所(特殊普通合伙),代理
CN202990842U,西安创知专利事务所,代理
CN104389621A,南京苏高专利商标事务所(普通合伙),代理
CN102779453A,北京众合诚成知识产权代理有限公司,代理
CN203167354U,浙江杭州金通专利事务所有限公司,代理
CN104648221A,北京众合诚成知识产权代理有限公司,代理
CN205149810U,济南誉丰专利代理事务所(普通合伙企业),代理
CN202548621U,上海科盛知识产权代理有限公司,代理
CN105847391A,昆明祥和知识产权代理有限公司,代理
CN201289410Y,成都博通专利事务所,代理
CN104184735A,浙江翔隆专利事务所(普通合伙),代理
CN105550409A,北京同恒源知识产权代理有限公司,代理
CN101435746A,成都博通专利事务所,代理
CN202856796U,芜湖安汇知识产权代理有限公司,代理
CN101480071A,永新专利商标代理有限公司,代理
CN204544440U,江西省专利事务所,代理
CN203870900U,成都博通专利事务所,代理
CN202004770U,南京知识律师事务所,代理
CN104766129A,武汉天力专利事务所,代理
CN205265369U,郑州知己知识产权代理有限公司,代理
CN205140128U,天津市三利专利商标代理有限公司,代理
CN102305580A,北京市商泰律师事务所,代理
CN202262013U,杭州丰禾专利事务所有限公司,代理
CN105449075A,北京一格知识产权代理事务所(普通合伙),代理
CN201749129U,北京纽乐康知识产权代理事务所,代理
CN201234392Y,浙江翔隆专利事务所,代理
CN101938878A,天津市北洋有限责任专利代理事务所,代理
CN106549913A,中国商标专利事务所有限公司,代理
CN201858842U,厦门原创专利事务所,代理
CN103763352A,沈阳优普达知识产权代理事务所(特殊普通合伙),代理
CN102842235A,沈阳东大专利代理有限公司,代理
CN203376608U,石家庄新世纪专利商标事务所有限公司,代理
CN201620915U,山西太原科卫专利事务所,代理
CN203441530U,湖州金卫知识产权代理事务所(普通合伙),代理
CN104329120A,成都金英专利代理事务所(普通合伙),代理
CN105989546A,北京思元知识产权代理事务所(普通合伙),代理
CN103223896A,北京众合诚成知识产权代理有限公司,代理
CN105516379A,中国国际贸易促进委员会专利商标事务所,代理
CN205081386U,上海天翔知识产权代理有限公司,代理
CN103493497A,中国国际贸易促进委员会专利商标事务所,代理
CN106559348A,北京中誉威圣知识产权代理有限公司,代理
CN101820569A,张家港市高松专利事务所,代理
CN204065427U,长春吉大专利代理有限责任公司,代理
CN105840212A,重庆博凯知识产权代理有限公司,代理
CN102095594A,成都博通专利事务所,代理
CN201811130U,北京中恒高博知识产权代理有限公司,代理
CN202448997U,上海硕力知识产权代理事务所,代理
CN203275106U,北京天奇智新知识产权代理有限公司,代理
CN105752308A,湖北武汉永嘉专利代理有限公司,代理
CN104729489A,四川力久律师事务所,代理
CN205211150U,北京轻创知识产权代理有限公司,代理
CN203206534U,上海申蒙商标专利代理有限公司,代理
CN103645495A,济南圣达知识产权代理有限公司,代理
CN105471046A,济南圣达知识产权代理有限公司,代理
CN101872376A,北京同立钧成知识产权代理有限公司,代理
CN105736050A,西宁金语专利代理事务所,代理
CN101238520A,中原信达知识产权代理有限责任公司,代理
CN205172361U,天津市三利专利商标代理有限公司,代理
CN202707551U,南昌新天下专利商标代理有限公司,代理
CN103215616A,张家界市慧诚商标专利事务所,代理
CN102244961A,吉林长春新纪元专利代理有限责任公司,代理
CN101263466A,上海专利商标事务所有限公司,代理
CN203301793U,南昌新天下专利商标代理有限公司,代理
CN103471583A,北京天奇智新知识产权代理有限公司,代理
CN204104633U,北京天平专利商标代理有限公司,代理
CN104255890A,北京天平专利商标代理有限公司,代理
CN204632052U,上海精晟知识产权代理有限公司,代理
CN203301794U,南昌新天下专利商标代理有限公司,代理
CN103129581A,上海汉声知识产权代理有限公司,代理
CN201818313U,成都博通专利事务所,代理
CN103175510A,华中科技大学专利中心,代理
CN104168210A,上海光华专利事务所,代理
CN1545275A,深圳市中知专利代理有限责任公司,代理
CN104895353A,青岛海昊知识产权事务所有限公司,代理
CN103391256A,武汉科皓知识产权代理事务所(特殊普通合伙),代理
CN104454000A,郑州金成知识产权事务所(普通合伙),代理
CN105064412A,武汉开元知识产权代理有限公司,代理
CN102724293A,南京天华专利代理有限责任公司,代理
CN102951069A,郑州睿信知识产权代理有限公司,代理
CN103713334A,济南圣达知识产权代理有限公司,代理
CN104047248A,北京纽乐康知识产权代理事务所(普通合伙),代理
CN103651319A,扬州苏中专利事务所(普通合伙),代理
CN204087290U,武汉开元知识产权代理有限公司,代理
CN204856146U,成都顶峰专利事务所(普通合伙),代理
CN101341779A,北京市中咨律师事务所,代理
CN103167546A,武汉宇晨专利事务所,代理
CN201550325U,武汉天力专利事务所,代理
CN103529192A,成都博通专利事务所,代理
CN103321656A,北京天奇智新知识产权代理有限公司,代理
CN204212785U,济南舜源专利事务所有限公司,代理
CN104052748A,济南信达专利事务所有限公司,代理
CN202713724U,南昌新天下专利商标代理有限公司,代理
CN104463569A,北京市立方律师事务所,代理
CN204210275U,北京市浩天知识产权代理事务所(普通合伙),代理
CN104866996A,北京世誉鑫诚专利代理事务所(普通合伙),代理
CN105491589A,长沙市融智专利事务所,代理
CN104599427A,上海智力专利商标事务所,代理
CN105211350A,深圳市百瑞专利商标事务所(普通合伙),代理
CN205365599U,杭州浙科专利事务所(普通合伙),代理
CN102661656A,上海海颂知识产权代理事务所(普通合伙),代理
CN202972776U,北京天奇智新知识产权代理有限公司,代理
CN104378410A,广州市南锋专利事务所有限公司,代理
CN205540219U,北京爱普纳杰专利代理事务所(特殊普通合伙),代理
CN1656474A,中国专利代理(香港)有限公司,代理
CN302313604S,济南圣达知识产权代理有限公司,代理
CN204887277U,北京同恒源知识产权代理有限公司,代理
CN204989911U,北京联瑞联丰知识产权代理事务所(普通合伙),代理
CN105211349A,深圳市百瑞专利商标事务所(普通合伙),代理
CN201462745U,北京同恒源知识产权代理有限公司,代理
CN103379704A,北京振安创业专利代理有限责任公司,代理
CN107005566A,北京律盟知识产权代理有限责任公司,代理
CN105155997A,天津市三利专利商标代理有限公司,代理
CN203757577U,宁波市鄞州金源通汇专利事务所(普通合伙),代理
CN101763102A,武汉开元知识产权代理有限公司,代理
CN101753401A,信息产业部电子专利中心,代理
CN102700572A,陕西电子工业专利中心,代理
CN102748942A,泉州市博一专利事务所,代理
CN102001102A,福州元创专利商标代理有限公司,代理
CN104691400A,深圳市神州联合知识产权代理事务所(普通合伙),代理
CN204531500U,青岛海昊知识产权事务所有限公司,代理
CN204281797U,浙江杭州金通专利事务所有限公司,代理
CN204904021U,北京万科园知识产权代理有限责任公司,代理
CN105046512A,长沙正奇专利事务所有限责任公司,代理
CN204759182U,天津才智专利商标代理有限公司,代理
CN203897838U,广州粤高专利商标代理有限公司,代理
CN1932868A,北京五月天专利商标代理有限公司,代理
CN201289705Y,成都博通专利事务所,代理
CN101425238A,上海智信专利代理有限公司,代理
CN205172362U,天津市三利专利商标代理有限公司,代理
CN104784852A,天津中环专利商标代理有限公司,代理
CN105120224A,北京同恒源知识产权代理有限公司,代理
CN105207098A,上海天翔知识产权代理有限公司,代理
CN201581928U,徐州市三联专利事务所,代理
CN205154262U,西安创知专利事务所,代理
CN202836166U,广州粤高专利商标代理有限公司,代理
CN103543697A,上海汉声知识产权代理有限公司,代理
CN105939499A,武汉智权专利代理事务所(特殊普通合伙),代理
CN201704875U,武汉宇晨专利事务所,代理
CN105245831A,天津市三利专利商标代理有限公司,代理
CN102117528A,上海光华专利事务所,代理
CN103258256A,辽宁沈阳国兴专利代理有限公司,代理
CN202946195U,西安恒泰知识产权代理事务所,代理
CN201164675Y,济南圣达专利商标事务所有限公司,代理
CN102635051A,长沙永星专利商标事务所,代理
CN1991845A,上海申汇专利代理有限公司,代理
CN201721617U,济南泉城专利商标事务所,代理
CN204875580U,北京双收知识产权代理有限公司,代理
CN201319683Y,北京恒久联达知识产权代理有限公司,代理
CN202300853U,南京君陶专利商标代理有限公司,代理
CN101509390A,长沙市融智专利事务所,代理
CN201826853U,成都博通专利事务所,代理
CN204362805U,浙江杭州金通专利事务所有限公司,代理
CN201832164U,福州元创专利商标代理有限公司,代理
CN103093283A,天津市北洋有限责任专利代理事务所,代理
CN202994353U,成都博通专利事务所,代理
CN102562141A,天津市鼎和专利商标代理有限公司,代理
CN204386622U,西安恒泰知识产权代理事务所,代理
CN103780680A,北京瑞思知识产权代理事务所(普通合伙),代理
CN105668189A,广州市越秀区海心联合专利代理事务所(普通合伙),代理
CN204781016U,武汉开元知识产权代理有限公司,代理
CN102917355A,北京派特恩知识产权代理事务所(普通合伙),代理
CN104135729A,天津盛理知识产权代理有限公司,代理
CN101311696A,上海兆丰知识产权代理事务所,代理
CN105849048A,中国国际贸易促进委员会专利商标事务所,代理
CN101311697A,上海兆丰知识产权代理事务所,代理
CN103313039A,西安睿通知识产权代理事务所(特殊普通合伙),代理
CN203896566U,长春吉大专利代理有限责任公司,代理
CN104582155A,厦门市新华专利商标代理有限公司,代理
CN101287315A,武汉开元专利代理有限责任公司,代理
CN201294043Y,北京市盛峰律师事务所,代理
CN105338023A,北京中博世达专利商标代理有限公司,代理
CN201336748Y,北京市盛峰律师事务所,代理
CN105627282A,西安文盛专利代理有限公司,代理
CN205003206U,武汉帅丞知识产权代理有限公司,代理
CN204759758U,天津市宗欣专利商标代理有限公司,代理
CN204733434U,北京海虹嘉诚知识产权代理有限公司,代理
CN1860688A,北京英赛嘉华知识产权代理有限责任公司,代理
CN103775907A,西安智大知识产权代理事务所,代理
CN104267704A,成都金英专利代理事务所(普通合伙),代理
CN102622906A,江西省专利事务所,代理
CN103105779A,北京集佳知识产权代理有限公司,代理
CN102508860A,广州弘邦专利商标事务所有限公司,代理
CN203884019U,杭州新源专利事务所(普通合伙),代理
CN203642685U,北京品源专利代理有限公司,代理
CN106559399A,北京风雅颂专利代理有限公司,代理
CN202942577U,北京捷诚信通专利事务所(普通合伙),代理
CN201401121Y,广州三环专利代理有限公司,代理
CN203601299U,北京市振邦律师事务所,代理
CN105370609A,西安新思维专利商标事务所有限公司,代理
CN205349347U,北京海虹嘉诚知识产权代理有限公司,代理
CN105698974A,大连理工大学专利中心,代理
CN101312457A,中国专利代理(香港)有限公司,代理
CN105505586A,杭州新源专利事务所(普通合伙),代理
CN203072231U,杭州华鼎知识产权代理事务所(普通合伙),代理
CN103162535A,西安创知专利事务所,代理
CN202577100U,长沙永星专利商标事务所,代理
CN204196909U,北京挺立专利事务所(普通合伙),代理
CN103956109A,成都博通专利事务所,代理
CN106795005A,北京集佳知识产权代理有限公司,代理
CN102880179A,济南圣达知识产权代理有限公司,代理
CN201251564Y,西安集思得知识产权代理有限公司,代理
CN102857316A,北京安信方达知识产权代理有限公司,代理
CN201017222Y,成都博通专利事务所,代理
CN202647455U,北京科亿知识产权代理事务所(普通合伙),代理
CN102944263A,湖北武汉永嘉专利代理有限公司,代理
CN105547983A,成都博通专利事务所,代理
CN1852428A,杭州天正专利事务所有限公司,代理
CN204207050U,银川长征知识产权代理事务所,代理
CN103206228A,成都博通专利事务所,代理
CN204370979U,重庆市前沿专利事务所(普通合伙),代理
CN102841371A,山西五维专利事务所(有限公司),代理
CN205558754U,天津市三利专利商标代理有限公司,代理
CN103195447A,成都博通专利事务所,代理
CN105649534A,西安创知专利事务所,代理
CN101388701A,北京同达信恒知识产权代理有限公司,代理
CN201797252U,武汉开元知识产权代理有限公司,代理
CN102979535A,成都博通专利事务所,代理
CN104219123A,中国国际贸易促进委员会专利商标事务所,代理
CN301573901S,广州知友专利商标代理有限公司,代理
CN204943134U,北京纽乐康知识产权代理事务所(普通合伙),代理
CN103426298A,北京三聚阳光知识产权代理有限公司,代理
CN101847319A,北京中博世达专利商标代理有限公司,代理
CN103486507A,北京一格知识产权代理事务所(普通合伙),代理
CN103256056A,北京天奇智新知识产权代理有限公司,代理
CN102997115A,大连科技专利代理有限责任公司,代理
CN103426300A,北京三聚阳光知识产权代理有限公司,代理
CN1885990A,上海明成云知识产权代理有限公司,代理
CN202472695U,杭州求是专利事务所有限公司,代理
CN205028152U,北京世誉鑫诚专利代理事务所(普通合伙),代理
CN202889696U,贵阳中新专利商标事务所,代理
CN204086582U,济南圣达知识产权代理有限公司,代理
CN202396058U,福州智理专利代理有限公司,代理
CN105738225A,北京和信华成知识产权代理事务所(普通合伙),代理
CN105022330A,上海汉声知识产权代理有限公司,代理
CN204119619U,杭州丰禾专利事务所有限公司,代理
CN201660549U,湖北武汉永嘉专利代理有限公司,代理
CN1535524A,中国专利代理(香港)有限公司,代理
CN203444690U,北京天奇智新知识产权代理有限公司,代理
CN105257425A,上海专利商标事务所有限公司,代理
CN104732610A,西安新思维专利商标事务所有限公司,代理
CN103543292A,北京金智普华知识产权代理有限公司,代理
CN102940530A,昆明协立知识产权代理事务所(普通合伙),代理
CN102968565A,昆明协立知识产权代理事务所(普通合伙),代理
CN103854411A,西安创知专利事务所,代理
CN102809285A,广州粤高专利商标代理有限公司,代理
CN103264441A,南京经纬专利商标代理有限公司,代理
CN104394075A,北京鑫媛睿博知识产权代理有限公司,代理
CN203911919U,杭州新源专利事务所(普通合伙),代理
CN105306334A,南京苏高专利商标事务所(普通合伙),代理
CN103197645A,北京五月天专利商标代理有限公司,代理
CN102152802A,郑州大通专利商标代理有限公司,代理
CN204417555U,天津盛理知识产权代理有限公司,代理
CN105403308A,天津中环专利商标代理有限公司,代理
CN104795550A,北京亿腾知识产权代理事务所,代理
CN103469159A,佛山市粤顺知识产权代理事务所,代理
CN104613743A,北京科亿知识产权代理事务所(普通合伙),代理
CN105756712A,西安通大专利代理有限责任公司,代理
CN102300366A,杭州求是专利事务所有限公司,代理
CN102644172A,佛山市名诚专利商标事务所(普通合伙),代理
CN103162981A,成都博通专利事务所,代理
CN101482416A,北京科龙寰宇知识产权代理有限责任公司,代理
CN103404371A,福州元创专利商标代理有限公司,代理
CN101482415A,北京科龙寰宇知识产权代理有限责任公司,代理
CN203271768U,北京天奇智新知识产权代理有限公司,代理
CN204168979U,北京市立方律师事务所,代理
CN101319941A,成都博通专利事务所,代理
CN103600745A,成都虹桥专利事务所(普通合伙),代理
CN101319942A,成都博通专利事务所,代理
CN104540180A,南京瑞弘专利商标事务所(普通合伙),代理
CN101929220A,武汉宇晨专利事务所,代理
CN102012153A,厦门原创专利事务所,代理
CN104980707A,北京青松知识产权代理事务所(特殊普通合伙),代理
CN2760229Y,成都中亚专利代理有限公司,代理
CN103480102A,济南圣达知识产权代理有限公司,代理
CN201662334U,湖北武汉永嘉专利代理有限公司,代理
CN204314159U,北京和信华成知识产权代理事务所(普通合伙),代理
CN103729908A,长沙丁卯专利代理事务所(普通合伙),代理
CN105365790A,济南誉丰专利代理事务所(普通合伙企业),代理
CN203164427U,济南圣达知识产权代理有限公司,代理
CN201226609Y,武汉开元专利代理有限责任公司,代理
CN202280001U,天津才智专利商标代理有限公司,代理
CN101403645A,成都博通专利事务所,代理
CN104170017A,上海专利商标事务所有限公司,代理
CN104498758A,安徽信拓律师事务所,代理
CN203355168U,北京捷诚信通专利事务所(普通合伙),代理
CN104815407A,济南圣达知识产权代理有限公司,代理
CN303451260S,济南圣达知识产权代理有限公司,代理
CN103927904A,合肥天明专利事务所,代理
CN103437813A,东莞市众达专利商标事务所(普通合伙),代理
CN205318571U,天津中环专利商标代理有限公司,代理
CN205250228U,上海宣宜专利代理事务所(普通合伙),代理
CN103869350A,上海开祺知识产权代理有限公司,代理
CN204740297U,南京经纬专利商标代理有限公司,代理
CN203720585U,济南圣达知识产权代理有限公司,代理
CN203024561U,上海旭诚知识产权代理有限公司,代理
CN103856933A,北京银龙知识产权代理有限公司,代理
CN102307150A,北京德琦知识产权代理有限公司,代理
CN200962604Y,北京北新智诚知识产权代理有限公司,代理
CN204650766U,浙江永鼎律师事务所,代理
CN205427517U,天津中环专利商标代理有限公司,代理
CN101977234A,长沙市融智专利事务所,代理
CN101303815A,成都博通专利事务所,代理
CN101541118A,深圳市君胜知识产权代理事务所,代理
CN103257080A,北京天奇智新知识产权代理有限公司,代理
CN104919854A,北京润平知识产权代理有限公司,代理
CN204940179U,中国商标专利事务所有限公司,代理
CN106464551A,上海智信专利代理有限公司,代理
CN104642415A,北京科亿知识产权代理事务所(普通合伙),代理
CN203013192U,武汉科皓知识产权代理事务所(特殊普通合伙),代理
CN103661072A,北京路浩知识产权代理有限公司,代理
CN103968852A,青岛发思特专利商标代理有限公司,代理
